Time,Queue Size,Event
23.56640000000013,2,size
23.56640000000013,3,size
23.56640000000013,4,size
23.56640000000013,5,size
23.56640000000013,6,size
23.56640000000013,7,size
23.56640000000013,8,size
23.56640000000013,9,size
23.56640000000013,10,size
23.56640000000013,10,drop
23.56640000000013,10,drop
23.56640000000013,10,drop
23.56640000000013,10,drop
23.56720000000013,9,size
23.568000000000133,8,size
23.568800000000135,7,size
23.569600000000136,6,size
23.570400000000138,5,size
23.57120000000014,4,size
23.57200000000014,3,size
23.572800000000143,2,size
23.573600000000145,1,size
23.574400000000146,0,size
24.63680000000015,1,size
24.63680000000015,2,size
24.63680000000015,3,size
24.63680000000015,4,size
24.63680000000015,5,size
24.63680000000015,6,size
24.63680000000015,7,size
24.63680000000015,8,size
24.63680000000015,9,size
24.63680000000015,10,size
24.63680000000015,10,drop
24.63680000000015,10,drop
24.63680000000015,10,drop
24.63680000000015,10,drop
24.637600000000152,9,size
24.638400000000154,8,size
24.639200000000155,7,size
24.640000000000157,6,size
24.64080000000016,5,size
24.64160000000016,4,size
24.642400000000162,3,size
24.643200000000164,2,size
24.644000000000165,1,size
24.644800000000167,0,size
24.659200000000155,1,size
24.659200000000155,2,size
24.659200000000155,3,size
24.659200000000155,4,size
24.659200000000155,5,size
24.659200000000155,6,size
24.659200000000155,7,size
24.659200000000155,8,size
24.659200000000155,9,size
24.659200000000155,10,size
24.659200000000155,10,drop
24.660000000000156,9,size
24.660800000000158,8,size
24.66160000000016,7,size
24.66240000000016,6,size
24.663200000000163,5,size
24.664000000000165,4,size
24.664800000000167,3,size
24.66560000000017,2,size
24.66640000000017,1,size
24.66720000000017,0,size
25.708800000000174,1,size
25.708800000000174,2,size
25.708800000000174,3,size
25.708800000000174,4,size
25.708800000000174,5,size
25.708800000000174,6,size
25.708800000000174,7,size
25.708800000000174,8,size
25.708800000000174,9,size
25.708800000000174,10,size
25.708800000000174,10,drop
25.708800000000174,10,drop
25.708800000000174,10,drop
25.708800000000174,10,drop
25.709600000000176,9,size
25.710400000000178,8,size
25.71120000000018,7,size
25.71200000000018,6,size
25.712800000000183,5,size
25.713600000000184,4,size
25.714400000000186,3,size
25.715200000000188,2,size
25.71600000000019,1,size
25.71680000000019,0,size
26.779200000000195,1,size
26.779200000000195,2,size
26.779200000000195,3,size
26.779200000000195,4,size
26.779200000000195,5,size
26.779200000000195,6,size
26.779200000000195,7,size
26.779200000000195,8,size
26.779200000000195,9,size
26.779200000000195,10,size
26.779200000000195,10,drop
26.779200000000195,10,drop
26.779200000000195,10,drop
26.779200000000195,10,drop
26.780000000000197,9,size
26.7808000000002,8,size
26.7816000000002,7,size
26.7824000000002,6,size
26.783200000000203,5,size
26.784000000000205,4,size
26.784800000000207,3,size
26.78560000000021,2,size
26.78640000000021,1,size
26.78720000000021,0,size
26.8016000000002,1,size
26.8016000000002,2,size
26.8016000000002,3,size
26.8016000000002,4,size
26.8016000000002,5,size
26.8024000000002,4,size
26.803200000000203,3,size
26.804000000000205,2,size
